Planet,Mass (10^24kg),Density (kg/m^3),Gravity (m/s^2),Rotation Period (hours),Length of Day (hours),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Orbital Period (years),Diameter (AU),Escape Velocity (AU/s),Distance from Sun (10^6 AU),Perihelion (10^6 AU),Aphelion (10^6 AU),Orbital Velocity (AU/s)
Mercury,0.33,5429,3.7,1407.6,4222.6,7.0,0.206,0.034,167,0.0,0,No,Yes,0.24093086926762491 yr,3.261410056954775e-05 AU,2.8743724625754315e-08 AU,3.87037594379343e-07 AU,3.074910076243485e-07 AU,4.665841811343375e-07 AU,3.1684942959552433e-07 AU
Venus,4.87,5243,8.9,-5832.5,2802.0,3.4,0.007,177.4,464,92.0,0,No,No,0.6151950718685831 yr,8.091024252793726e-05 AU,6.951970607159184e-08 AU,7.232723266294459e-07 AU,7.185931156438579e-07 AU,7.279515376150337e-07 AU,2.339605492793956e-07 AU
Earth,5.97,5514,9.8,23.9,24.0,0.0,0.017,23.4,15,1.0,1,No,Yes,0.9998631074606433 yr,8.526859333165629e-05 AU,7.486737576940659e-08 AU,1.0000142334913594e-06 AU,9.833027656856884e-07 AU,1.0167257012970306e-06 AU,1.9920069624359968e-07 AU
Moon,0.073,3340,1.6,655.7,708.7,5.1,0.055,6.7,-20,0.0,0,No,No,0.07474332648870637 yr,2.3228940249882847e-05 AU,1.6043009093444267e-08 AU,2.566881454951083e-09 AU,2.4265051253834456e-09 AU,2.7139423716409893e-09 AU,6.684587122268446e-09 AU
Mars,0.642,3934,3.7,24.6,24.7,1.8,0.094,25.2,-65,0.01,2,No,No,1.8809034907597535 yr,4.540171573444728e-05 AU,3.342293561134223e-08 AU,1.5240858638772055e-06 AU,1.3817041581728876e-06 AU,1.6664675695815235e-06 AU,1.6109854964666954e-07 AU
Jupiter,1898.0,1326,23.1,9.9,9.9,1.3,0.049,3.1,-110,,95,Yes,Yes,11.85763175906913 yr,0.0009557890050904314 AU,3.977329337749725e-07 AU,5.203951074685985e-06 AU,4.950605222752011e-06 AU,5.457296926619959e-06 AU,8.756809130171664e-08 AU
Saturn,568.0,687,9.0,10.7,10.7,2.5,0.052,26.7,-140,,274,Yes,Yes,29.423682409308693 yr,0.0008057333933697493 AU,2.3730284284052983e-07 AU,9.572328759088415e-06 AU,9.07499547719164e-06 AU,1.0070330499697414e-05 AU,6.484049508600391e-08 AU
Uranus,86.8,1270,8.7,-17.2,17.2,0.8,0.047,97.8,-195,,28,Yes,Yes,83.74811772758385 yr,0.0003417027245161184 AU,1.423817057043179e-07 AU,1.9164711279543634e-05 AU,1.826697122902298e-05 AU,2.0063119788776515e-05 AU,4.5455192431425426e-08 AU
Neptune,102.0,1638,11.0,16.1,16.1,1.8,0.01,28.3,-200,,16,Yes,Yes,163.72347707049965 yr,0.0003310742309917116 AU,1.5708779737330848e-07 AU,3.0180910857042032e-05 AU,2.988745748237445e-05 AU,3.0474364231709616e-05 AU,3.609677046024961e-08 AU
Pluto,0.013,1850,0.7,-153.3,153.3,17.2,0.244,119.5,-225,1e-05,5,No,Unknown,247.93976728268308 yr,1.588257900250983e-05 AU,8.68996325894898e-09 AU,3.9481845378966344e-05 AU,2.965817614408064e-05 AU,4.9304846155139826e-05 AU,3.14175594746617e-08 AU
